[1, "No, never that  https://t.co/BI4QXAUYio"]
[4052, "RT @olavoalmeida_: E digo mais, quero o flu na final!  flaxflu"]
[4053, "\u00faltimas horas para comprar vuestro juego favorito en @EsKinguin y recuerda 'DANTE4K' para un 3% descuento :D https://t.co/PqEioR9RbF"]
[4054, "@TheBurningSoul_ darkness and scent of blood. With food that made him want to vomit and eat more of.  He knew this  was a hard fall. He"]
[4055, "RT @FaZeBlaziken: Damn the flu is hitting me hard today. Not sure if i'm gonna upload :/"]
[4056, "@CollinParks2 @aaboyajyan @ATHEIST_STRONG @cenkuygur Again disgusting child, @TheYoungTurks,vomit ur fallacies and dishonesty to Armenians"]
[4057, "RT @ohmazerunner: 158 d\u00edas the fever code"]
[4058, "102 fever. Body aches. Headaches. The flu is glamorous as fuck."]
[4059, "One time outside with a small cold and now I've got fever again. https://t.co/e4GRMxInis"]
[4060, "ART (by me bc I'm lit) (vomit to be colored in soon) https://t.co/pIlzPQj9X4"]
[4061, "Peggy Lee - Fever https://t.co/OZIHSBBwrE v\u00eda ufufuufufufufufuufufufufufufufufufuufufufufu"]
[4062, "RT @osnapitztrace: This is why no one likes us https://t.co/lxXLrqpxey"]
[4063, "Colabora a\u00ed Flamengo, queremos um Fla x Flu, Fluminense tamb\u00e9m vai colaborar po"]
[4064, "@boaomega22 ha! Man flu indeed!"]
[4065, "Se flu for pra final, presen\u00e7a mais que confirmada no buana"]
[4066, "American guitarist Bernard Edwards (re Chic) died 1996 within hrs of a gig from pneumonia aged 43 - flu? https://t.co/lKBRAIIhqe"]
[4067, "Jogo do flu tinha que ser 16:00"]
[4068, "Me ha gustado un v\u00eddeo de @YouTube (https://t.co/Q3Sux8LL2X - Rhythm Heaven Fever Custom Remix - Player 2 (Toni Leys))."]
[4069, "@MelanieHaiken THE WORLD HEALTH ORG SAYS roaches are carriers of DISEASES,SALMONELLA dysentery, typhoid fever&amp;cholera.DRANDREW@ROACHDRS.COM"]
[4070, "Cast got a weird Purell addiction. On plane, sneezing, coughing, baby vomiting. We're all going to die. 4-6 feet. #Containment #TVDChicago"]
[4071, "i have a fever and am tired and cold"]
[4072, "Pra mim, o jogo do Flu depende fundamentalmente do resultado de Flamengo X Vasco."]
[4073, "Queria Fla vs Flu na final , mais o Flamengo n passa do Vasco"]
[4074, "I sweater god if I don't stop sneezing im crucifying myself"]
[4075, "All it takes is one trip down Diarrhea Alley or a ticket to Vomit Town &amp; we'll need two or three times the no. of clothes, bed sheets etc"]
[4076, "CORTA PRA 19hs!!!!!! quero o jogo do flu logooo"]
[4077, "Hoje eu vou torcer p Flu pq n gosto do Botafogo"]
[4078, "I just checked in at Crazy Sushi Fever with #mPLUSPlaces Download today!  https://t.co/Oal1j3yAaQ"]
[4079, "afraid to leave this stall because bruh on the opposite end is having the most intense case of explosive diarrhea I've heard in a min"]
[4080, "Porra, podia ir no jogo do flu hj ne mas af"]
[4081, "RT @ESPNagora: Gum vive 'reviravolta' no Flu e comenta reencontro com Botafogo; https://t.co/VVLcmPxNFp https://t.co/MVaVaYoSyU"]
[4082, "@__vicente_reis vasco s\u00f3 ganha do flu e do fla mano freguesia demais"]
[4083, "como eu queria ele no flu... carrega esse vasco"]
[4084, "Fuck I got the stomach flu"]
[4085, "Lip Balm Cold Sores Fever Blisters Chap-Ice Medicated ChapStick Chap Lip Unisex https://t.co/wFfvP9aPNW https://t.co/zOEvg0nv8I"]
[4086, "Chemtrail Flu: Have You Had It Yet?: Exposing the climate geoengineering cover-up Source: Chemtrail ... https://t.co/fFiAvA0xga #AN&amp;V2014"]
[4087, "*curls up on floor*\n\nReally not a well pup this weekend &amp; over did it this afternoon. Lots pain and a fever. :("]
[4088, "@jenna_fogel when u brew coffee without a filter and make diarrhea #nofilter"]
[4089, "Isso a\u00ed galerinha, continuem comemorando vit\u00f3ria contra o grande Confian\u00e7a, pq pegar Vasco, Flu, Botafogo e outros grandes, \u00e9 a mesma coisa"]
[4090, "2 - Soma-se a isso, a briga do Flu com o Vasco e a Ferj. 3 - Sabemos que a briga do Eurico \u00e9 com o Flu."]
[4091, "RT @matttnorrris: Hay fever is actually gonna kill me"]
[4092, "Parole: too much vomit and conditions pga pupsa"]
[4093, "RT @magicalgilinsky: I USED TO BE OBSESSED WITH HIM SNEEZING IM SO EMBARRASSING  https://t.co/qAFXxLbskv"]
[4094, "vou nem gastar os flamenguistas Pq daqui a pouco come\u00e7a o jogo do flu e esse time \u00e9 louco"]
[4095, "This can be really worrying https://t.co/4in1glC97c @dotty4paws @GoodVetGuide @Wellybix @TheChirpNetwork https://t.co/UucbB7YCZd"]
[4096, "RT @svbeezy: Fuck allergy season I can't stop sneezing"]
[4097, "Agree with Dr. Ferguson's answer to \"Do you sometimes not get a fever from middle ear infection or a ear infection.? ...\" - http://htap.u..."]
[4098, "This is the most anyone has talked about Lemonade since last year's unfortunately activated charcoal lemonade group vomit incident."]
[4099, "@Marshall5Sharon Oh dear...\nOn the rise hay fever is, darling...."]
[4100, "Quero logo o jogo do Flu"]
[4101, "RT @tvtolyrics: hypnotized, fever fever https://t.co/bwUmP9sgvj"]
[4102, "@spiraltastic to be fair, this isn't their best selection, but I get various work bits for Fever: https://t.co/FPRlod3Ztb"]
[4103, "J'ai achet\u00e9 un nouveau Resto dans cooking Fever il est grave bieeeen."]
[4104, "@doritmi @and_kell Just stop Dorit. Your're so evil. Like you have some voice of reason. The person implying flu killed Prince?"]
[4105, "and of course I keep sneezing lol"]
[4106, "https://t.co/C4LadnoRRz: New Blu-ray and DVD releases April 25th 2016 https://t.co/NPnoXUUFIV"]
[4107, "@megabren sounds like a great diet, I might get some teeth removed myself. That or glandular fever."]
[4108, "I liked a @YouTube video https://t.co/QsZKxXE2Ya MAJOR Baby Fever! - April 21, 2016 - ItsJudysLife Vlogs"]
[4109, "I guarantee @klstorey would go to this if it came to Orlando. https://t.co/7hg490GT2u"]
[4110, "When I had the flu, I spent a lot of time watching #Benidorm. My British friends know what I'm talking about. Season 8 was good. 6 was best."]
[4111, "I've gotta be the only person to get the flu the week before finals week"]
[4112, "https://t.co/77ALiHZSgn NWT SZ10 $498 DIANE VON FURSTENBERG L/S TWEED JACKET Fuchsia Fever Multi BLAZER"]
[4113, "Pprt https://t.co/H9rDyLLe3R"]
[4114, "Low grade fever. Bleh."]
[4115, "I will stab an entire midget dance crew for a pair. https://t.co/RiO7nMhMeC"]
[4116, "I hate medusa so much I want her to choke on her own vomit for being mean to crona"]
[4117, "That awkward moment when you vomit yourself awake"]
[4118, "FEVER"]
[4119, "I just bought an outfit for schools who isn't even conceived yet. I've got SERIOUS baby fever!"]
[4120, "FEVER! #AdamLambert live from Oslo https://t.co/G666d6qv14"]
[4121, "ain't nothing new but a flu of democrips and rebloodicans, red vs blue state which one you governing?"]
[4122, "FEVER\n#AdamLambert\nhttps://t.co/Gb88VNNrIK"]
[4123, "In some men, one of the after effects of ejaculation is sneezing."]
[4124, "RT @vsfdlarie: Queria mt Fla x Flu na final"]
[4125, "AND HERE WE GOOOOOOO .........FEVER"]
[4126, "RT @mmadamimadamm: FEVER\n\nhttps://t.co/w0RjYzZ0kO"]
[4127, "#Fever"]
[4128, "I'm dehydrated"]
[4129, "@raggylcfc @shellie_72_ officially declared as flu last night... :) https://t.co/aTve4oQluT"]
[4130, "RT @BatistaAnselmo: Quero flamengo na final\nJunto com o Flu"]
[4131, "Quick Hit Fever slot machine, DBG #12\n\nAnother try at Quick Hit Fever.  DBG ...\nhttps://t.co/b3zxiBzZvG https://t.co/SkpP3b1vSP"]
[4132, "RAINHA MASTER AGORA: Hin\u00e1ria FEVER!"]
[4133, "Deixa as coisas flu\u00edrem, tudo no seu tempo."]
[4134, "@notabastard Gender fluid isn't  diarrhea?"]
[4135, "RT @AdamLambertBr: #Fever"]
[4136, "The suit jumper fever https://t.co/8nPAo0VRQN"]
[4137, "Did the Chemtrail Flu Kill Prince and Merle Haggard? https://t.co/bfHBMLSfGt via @realalexjones (Do Chemtrails Cause Purple Rain?)"]
[4138, "People are so into themselves nowadays. Like some ppl's snapchat stories make me wanna vomit"]
[4139, "RT @GlamilyBrasil: RAINHA MASTER AGORA: Hin\u00e1ria FEVER!"]
[4140, "RT @landoffacts: In some men, one of the after effects of ejaculation is sneezing."]
[4141, "Lembrando que o riascos perdeu um gol contra o flu tbm e depois marcou... So falando msm... Pra deixar registrado e tal.. Nada demais"]
[4142, "To at\u00e9 vendo que o Flamengo vai ferrar com outra final Fla x Flu"]
[4143, "United States Game Free 49. Cooking Fever - Nordcurrent  https://t.co/2VMr9N1fmD  #iPhone  #apple  8076"]
[4144, "Quero Fla x Flu na final"]
[4145, "https://t.co/p1B55OhCHT: Let's Play: Dragon Quest IX - Part 93 - Scarlet Fever -  Sure! Let's start a brigade to explore that..."]
[4146, "https://t.co/p1B55OhCHT: Cure hemorrhoids during pregnancy -  Cure hemorrhoids during pregnancy Hemorrhoids during pregnancy..."]
[4147, "What's up with all the sneezing?"]
[4148, "Apparently women who vomit during pregnancy are less likely to have miscarriage than *merely* nauseated women. Conclusion: Everyone puke NOW"]
[4149, "Ramblin' Fever - Merle Haggard https://t.co/ybmNZDM2mc #Country"]
[4150, "I hate sneezing so much"]
[4151, "NA HORA DO JOGO DO FLU EU VOU ZOAR MUITO A BIA KKKKKKKKKKKKKKKKK SE PREPARA"]
[4152, "Aquela cara cobrando p\u00eanalti KKKKKKKKKKKK  https://t.co/xkfWxWgmVY"]
[4153, "Latina Fever #10 https://t.co/bROjwXtN6i #porn #sex #latinaporn #hardcoreporn #NaturalTits"]
[4154, "Taleur j'\u00e9coutais rnb fever 3 j'ai envie d'aller au bled la"]
[4155, "Revision revision vomit revision revision, spot the truth"]
[4156, "S\u00f3 p quen tava la kk https://t.co/OIzQvk6wkY"]
[4157, "RT @anvvnan: Ramblin' Fever - Merle Haggard https://t.co/ybmNZDM2mc #Country"]
[4158, "RT @gabiazvd_: Kero FLA x FLU semana q vem"]
[4159, "@koye10 the fever lol"]
[4160, "j\u00e1 vi o flamengo virar do flu q tava ganhando de 3x0 no primeiro tempo e no final do jogo tava 5x3 pro flamengo!!! VAMO"]
[4161, "RT @eloisacamargo_: se Vasco e Flu ficarem na final, vai ser mt sem gra\u00e7a"]
[4162, "A year ago today I developed the flu and was more ill than I'd been for as long as I can remember. So far this year, I've steered clear :)"]
[4163, "Oil of Oregano - Helps your #Immune system fight colds, Flu, etc. - https://t.co/zWPG11l4Ao https://t.co/6vJiHoGqDu"]
[4164, "Quero que se foda o Flamengo e o Vasco ! Tem que da 19hrs logo pra eu assistir o jogo do Flu !"]
[4165, "O Flamengo podia colaborar para q rolasse um Fla x Flu na final"]
[4166, "ANGRY GRANDPA VS CHEESEBURGER IN A CAN! (VOMIT ALERT) https://t.co/i8Hg0fLq25"]
[4167, "Jungle fever  https://t.co/qtgP6sLsuV"]
[4168, "Bieber Fever Brasil&gt; PURPOSE TOUR: Chicago, IL https://t.co/vZjDnHQeFw"]
[4169, "Lightning over flu bug, but not injury bug as they head into round 2."]
[4170, "fu flu"]
[4171, "@lauracwinter Take care. Some people end up with Chronic Fatigue after glandular fever."]
[4172, "gente como eu odiava o diguinho no flu, s\u00e9rio \nodeio mais ele q o Fred"]
[4173, "RT @FreshlySane: Call me baby let's listen to each other vomit over the phone for hours."]
[4174, "RT @ImLuke3: @ImLuke3 APAGUEI A FOTO PQ ACHEI UM DEFEITO, MAS SIGO DIZENDO QUE HOJE \u00c9 DIA DO RIBAMAR SARRAR NO FLU"]
[4175, "Have massive diarrhea right now #prayforme"]
[4176, "Nigga didn't have no flu lol. Out partying like a mf."]
[4177, "#lovelulus #fashion #style #ootd #bikini https://t.co/JYTHElzOg1"]
[4178, "@LucasSilveira_1 flu j\u00e1 t\u00e1 dentro antes do jogo come\u00e7ar?"]
[4179, "Baby fever...."]
[4180, "RT @denilsonbfr: o famoso dia que eu morri e ressuscitei https://t.co/4AS4C89UTA"]
[4181, "Exatamente ! Regulamento idiota . . . .  https://t.co/y2PV08GlZi"]
[4182, "Quick Hit Fever slot machine, DBG #12\n\nAnother try at Quick Hit Fever.  DBG ...\nhttps://t.co/00bsKjmwUu https://t.co/1f9QU0FWoe"]
[4183, "RT @thayssawn: consagrado no gramado, sempre amado, o mais cotado, no \"Fla-Flu \u00e9 o Ai, Jesus!!!!!!"]
[4184, "@its_juulie vou pra la 18h, ver o Flu"]
[4185, "Vamos pessoal, sigam o @BPT, tudo sobre o Flu https://t.co/d1mJYETerv"]
[4186, "Iz I cute? by @v_fever007 - https://t.co/G9Itmb9p14 @manyvids https://t.co/gl5DqujzRo"]
[4187, "Iz I cute? by @v_fever007 - https://t.co/dCFAU09QOe @manyvids https://t.co/JJHDQrHxdG"]
[4188, "RT @torixrico: I sweater god if I don't stop sneezing im crucifying myself"]
[4189, "Adoroooooo https://t.co/f6O37oO50K"]
[4190, "The only good thing about having the flu is the amount of weight I am losing in a short period of time"]
[4191, "i really love that have side effects which imitate cold and flu, especially when you're recovering from flu."]
[4192, "Quero muito Fla x Flu na final"]
[4193, "RT @femme_esq: In 2011, 256 babies died from homicide. 4,116 died due to short gestation or low birth weight. \n\nhttps://t.co/0oCY0eY7UB"]
[4194, "Resting!  Camming can wear a girl out! by @v_fever007 - https://t.co/qoeuHy7XtK @manyvids https://t.co/0YrSViU9Sv"]
[4195, "Resting!  Camming can wear a girl out! by @v_fever007 - https://t.co/TUZCEyiOqP @manyvids https://t.co/r9pG6r9SU4"]
[4196, "So this #LEMONADE drag of #Becky reminds me of this scene from #Jungle Fever  https://t.co/6OmstEMBup"]
[4197, "Cesar Martins s\u00f3 jogou aquele Fla flu mesmo"]
[4198, "I got the I do wtf I want flu"]
[4199, "@Sandymilhorans3 flu? Kkkkkkkkkkk ta sonhando ?"]
[4200, "@sorryjzargo Hm. Well I got no idea then. Maybe you're dehydrated, maybe you're hungry,  Maybe you turned your head to fast."]
[4201, "1st run after 2 wks battling flu/cold. Wouldn't say ran slow so much as extended the time I volunteered. #GYSD5K https://t.co/aiqVzbEXa6"]
[4202, "RT @sam_ciccone: @tori_cummings hi my name is Flu nice to meet you"]
[4203, "RT @2WoopsPAPI: I got the I do wtf I want flu"]
[4204, "tried to take veronica for a nice long walk...two minutes in &amp; i'm sneezing my head off from the pollen"]
[4205, "RT @WestofCrazy: Spring fever...\n\nPour your cure all over me."]
[4206, "@Lyricoldrap you were not kidding about that vomit alert."]
[4207, "i don't like starbucks anymore, they don't care, they just press a button and some old lady's diarrhea comes out and they give it to you"]
[4208, "It's cool that my brothers keep having kids because it cures my baby fever."]
[4209, "@dennistrashpitt @kenpiles @anthonysperkins @astairical \"wanna videochat\" sADHANA I AM DYING OF A FEVER OVER HERE"]
[4210, "Try a healing blend of #essentialoils to nip that cold or flu in the bud - check out ingredient benefits here! https://t.co/GAaC7g8hkj"]
[4211, "RITSU RITSU NIGHT FEVER!~~ #Vocabot"]
[4212, "Ser\u00e1 q o Vasco vai pegar Flu ou Botafogo na final?"]
[4213, "Se o Vasco ganhar msm tomara que o flu ganhe contra Botafogo... Adoro ver Thiaguete nervoso"]
[4214, "RT @nubbxlife: Prince died from the flu and Magic Johnson has had AIDS for 30 years.\n\nSomething doesnt add up."]
[4215, "@Takethatdoctors Mercury is still in flu shot. And pediatric vaccines have aluminum among other toxins"]
[4216, "Being stuck inside with the flu is the worse but it did teach me to rest. Find the good in the bad."]
[4217, "Lembra, @carolmarques04? https://t.co/UhCPZGTFyh"]
[4218, "i am absurdly hungover but it was this Facebook post that caused me to vomit https://t.co/c4MEZkNl34"]
[4219, "goes outside for a nice jog\ncomes back inside 15 minutes later with swollen eyes and sneezing 6374times bc allergies"]
[4220, "Who would've thought the flu was really this bad?"]
[4221, "I have the flu lol but warm weather means freckles! I used to hate them but they're cute &amp; they make me who I am! https://t.co/9WWzi57ssL"]
[4222, "If I ever win a race, this is how I plan to celebrate it. Take a bow son. https://t.co/wzHQwJvWxb"]
[4223, "Beaver Lure Fall Fever castor base curiosity lure 1oz jar RM Animal Lures.L852 https://t.co/uYTBewfDEF https://t.co/xEx4R4pP9T"]
[4224, "@Thom_Hartmann You have let your fever for #Bernie go too long &amp; now you have lost your mind &amp; all credibility you had remaining."]
[4225, "Prince didn't die of a flu anymore than Whitney died of being really tired while bathing.\nWonder if drugs made them great or held them back?"]
[4226, "FeVer pictures from today's performance!!! #gtil #gt4l #worlds2016"]
[4227, "I think I have the flu"]
[4228, "RT @PamplingNews: \u00bfQuieres que saquemos este dise\u00f1o en camiseta? Dise\u00f1o en concurso \"Friday Night Fever\" by Le.duc https://t.co/EMg2gdu34T"]
[4229, "Melhor jogo do ano passado, @BotafogoOficial https://t.co/XK4pQ3LGYx"]
[4230, "apparently i was so dehydrated i had to take a pic with the waterbottle. . #neonparty2016 https://t.co/sTEqe02S4A"]
[4231, "Hoje tem flu!!!"]
[4232, "devonte &amp; dymond say I might have the flu ... don't speak that on me !"]
[4233, "vai ser chatao flu x vas na final"]
[4234, "Mr. Bean - Sneezing in church https://t.co/HsyuY4KJR4 #lotto #lottowinners https://t.co/e7jjFQwsgY"]
[4235, "RT @siiiibaby: \"you can clearly tell I have the flu, why do you have to shove something up my nose\""]
[4236, "RT @IsaiahAustin: Hotboy. Propane. No fever."]
[4237, "@aspiesmom Thimerosal, not elemental mercury, is in the flu shot, that much is true."]
[4238, "@randyalvarez407 I feel like I'm gonna vomit it Wei"]
[4239, "If it cant vomit money why want it? https://t.co/qHtxcbtJLM"]
[4240, "#paranormal #romance #books #kindle\nFEVERBORN - A FEVER NOVEL\n@KarenMMoning\nhttps://t.co/jgP4nIJYt9 https://t.co/64ckATzM2S"]
[4241, "RT @JesseKnowss: Red state versus a blue state, which one you governin? https://t.co/aVu6aFpUCA"]
[4242, "Woke up feeling SUPER DEHYDRATED."]
[4243, "Ser\u00e1 que tem chances do Flamengo ganhar, e ter um cl\u00e1ssico como Fla x Flu ? #VcComenta"]
[4244, "Errrrrrrrrrrr https://t.co/D4PRa6dlL9"]
[4245, "https://t.co/o7t7Wj0lEB. Chemtrail Flu, HAARP, Radiation leaking from power plant in New York, food contamination, Martial Law.Really Obama?"]
[4246, "@HotCreep_ vomit inducing"]
[4247, "@chaeronaea i have a disease where i fucking blackout and vomit whenever i read the word \"daddy\""]
[4248, "One of my only days off this week, its nice af out with not a cloud in the sky and Im stuck inside with the flu for the next couple days."]
[4249, "Circulation of highly pathogenic avian flu in North American birds  https://t.co/FY7MsNRqCf"]
[4250, "RT @BraveTricolor: Queria um fla x flu na final mas o flamengo nao coopera"]
[4251, "\u00e9 final vai ter q ser vasco e flu msm"]
[4252, "@rodri_sandeo flu j\u00e1 jogou?"]
[4253, "@Pep_er @thisisnotcory lizard stresser runs off the diarrhea my botnet emits after a night onthe stella and kebab"]
[4254, "life tricks !! i have the stomach flu / food poisoning / etc. water didn't help with my vomit but gatorade did !!"]
[4255, "ive been sneezing non stop"]
[4256, "Poxa, colabora cmg  https://t.co/RokXn504lz"]
[4257, "RT @maysaagodoy: Quero que a final seja FLA X FLU"]
[4258, "Espero que o flu de Hj seja o flu de sempre"]
[4259, "guiness world records 2016 challenge: Can i make @nanvik_28 vomit by making her laugh real hard"]
[4260, "queria fla flu na final mas os mulambo \u00e9 in\u00fatil foge igual fugiu na primeira liga......"]
[4261, "my older sister and I are both sick with strep and a fever and we look so sad and pitiful laying in her bed crying"]
[4262, "RT @Tharcioflu99: Ja era meu Fla x Flu na final"]
[4263, "RT @Nataskinha_ffc: Af https://t.co/Z2vHD34Dsf"]
[4264, "La v\u00eda Solla - Glorieta Niqu\u00eda (Sentido Sur-Norte) presenta movilidad flu\u00edda. (15:31)"]
[4265, "flu recovery photo assignment sunday afternoon pic https://t.co/yEzXn9ADgb"]
[4266, "Queria fla x flu na final mas ..."]
[4267, "I CANT STOP SNEEZING"]
[4268, "quero dois a zero no flu igual na ta\u00e7a guanabara de 2008"]
[4269, "For the record, I don't dislike any of those musicians. But the toadying worship is enough to make anybody vomit. @_RichardGere"]
[4270, "@athletelogos yes vomit"]
[4271, "This swine flu can fuck off now"]
[4272, "The Angry Birds Movie Fever | New Movie Film Bad Piggies - Angry Birds Epic: https://t.co/dtOESmsxJc via @YouTube"]
[4273, "La v\u00eda Glorieta Niqu\u00eda - La Frutera (Sentido Sur-Norte) presenta movilidad flu\u00edda. (15:31)"]
[4274, "The only difference between Tylenol Cold and Tylenol Flu is the box, they have the exact same medical ingredients."]
[4275, "@JunksRadio @matt_valdez you guys are in REM sleep on \"Stanley\" remixes \"Let's Get It Started\" (Let's Get 'That Stanley') and \"Night Fever\"!"]
[4276, "Nope, I keep sneezing. I think I just have a cold."]
[4277, "Royals maintenance staff quickly cleaned up the vomit. Hope those nice folks got a WS ring."]
[4278, "RT @KabessaTricolor: Vamos pessoal, sigam o @BPToficial, tudo sobre o Flu https://t.co/d1mJYETerv"]
[4279, "@Kev_mochetta not buffalo doe, they gave me stomach flu lol"]
[4280, "@GlasMcRayne_bot What are you talking about? I don't think alcohol will fix my flu..."]
[4281, "RT @flusodre: ENTENDERAM OU QUER QUE EU DESENHE !? https://t.co/6Nv9MWyzlO"]
[4282, "@cayquesantiago a ra\u00e7a fla nao se cansa de apanhar,a jovem fla na corrida \u00e9 melhor,young flu toda pequenininha toma porrada e cabe dentro do"]
[4283, "@Jensened67 Love how freaked out Dean's gets &amp; his long winded scream when the cat jumped out. Sam's reaction priceless in \"Yellow Fever.\""]
[4284, "Quando perdemos para o Flu, teve gente que gostou do time."]
[4285, "#PRT #Colds Alpha CF Colds and Flu LIQUID 1 OZ  https://t.co/6hhGj0FeE7 https://t.co/4RGSRnF7T3"]
[4286, "J\u00e1 to agitada com esse jogo imagina com o do Flu, irei morrer"]
[4287, "Cruzeiro, Fla, Flu, Palmeiras, Inter... Todos numa zica s\u00f3, o time reserva do Corinthians leva f\u00e1cil a S\u00e9rie A"]
[4288, "Should I eat here or will I vomit black goo like Ultimate Warrior? #wrestling #wwe https://t.co/xY24eoYxMR"]
[4289, "RT @marcoossmv: Acaba esse jogo ai e come\u00e7a logo o do Flu caralho"]
[4290, "Mas tarde tem real Flu"]
[4291, "Wena utla nshapisa Ka monna!! I had to lie and say you my friend Nthatisi jwale o kodu coz u got flu...hai!! https://t.co/aq0Pr6YzE7"]
[4292, "Am seriously down wit maleria fever lord God heal me"]
[4293, "@nathanvrcl tenho mt amiga/amigo flu *"]
[4294, "@alluiz e vai conseguir para decidir com o vasco bota 2X0 no flu"]
[4295, "RT @EduTtk_: 99% de certeza que o flu vai perder pro botafogo"]
[4296, "ahhh gente n pode ser tem ser fla x flu"]
[4297, "af que sonho https://t.co/hXwpheoiqA"]
[4298, "|| That's a insult to Satan. Hay fever is much worse. https://t.co/WXUvYpU5wF"]
[4299, "RT @pbyronj: If you're having a bad day here's a video of my dog sneezing to cheer you up https://t.co/ECcICOWzZQ"]
[4300, "@Stingers_Rugby I won't be able to show up to a few practices due to me having a fever and being sick since last Thursday"]
[4301, "Cause you ate a shrimp burrito  https://t.co/g4wHQy6Bl3"]
[4302, "Quero \u00e9 ver meu Flu porra!!!"]
[4303, "Antes na Liga, agora no Estadual. O CRF tem pavor de pegar o Flu em FINAIS. Foge da gente desde 95. E olhem que nem nos classificamos ainda."]
[4304, "i spy @ColtWestbrook + @benfortworth  https://t.co/BuK6J2oz17"]
[4305, "Flamengo x Vasco, bot e flu kkkkkkkkkk todo cl\u00e1ssico \u00e9 assim, por isso o Flamengo \u00e9 maior q vcs kkkkkkkk"]
[4306, "RT @dricahygino: Quero bot x flu"]
[4307, "@Galo_Pedro achei que tava falando do flu!"]
[4308, "I liked a @YouTube video https://t.co/rnK8HyRme0 EPIC Dabbing Fail Kid Throws Up!!! Vomit Alert"]
[4309, "brb gonna vomit"]
[4310, "Muricy demora a acertar time,mas dessa vez tem demorado demais, em Abril o SPFC j\u00e1 tinha cara. No Flu em dois meses ele deu cara pro time"]
[4311, "yes, walking around outside is definitely going to cure my stomach flu and not make me feel 100 times worse, thanks for the advice"]
[4312, "Se o Vasco passar mesmo, espero que o Botafogo passe, pq o Flu t\u00e1 jogando muito bem.."]
[4313, "If I have flu again I swear to god I'm going to have a Megan McKenna breakdown lol"]
[4314, "https://t.co/hMGBshfwwW Jordan 12 French Blue Gs BG Sz 6.5 7 Ds Flu Game Wings Gamma Bred Flint Taxi"]
[4315, "https://t.co/lXNxNmTmE2 #shoes Jordan 12 French Blue Gs BG Sz 6.5 7 Ds Flu Game Wings Gamma Bred Flint Taxi"]
[4316, "AIR JORDAN 12 - FLU GAME (2016) release on MAY. 28, 2016 for $190 via @KicksOnFire #KoFapp https://t.co/PMIhGITops"]
[4317, "Natural Recipes for LOWERING FEVER ! https://t.co/9OTmkxLfXw"]
[4318, "This time last year, I burst a vessel in my eye while sick. Apparently cold/flu season is just more dangerous now."]
[4319, "https://t.co/uy0sKwo556 Jordan 12 French Blue Gs BG Sz 6.5 7 Ds Flu Game Wings Gamma Bred Flint Taxi https://t.co/Cnr9Izx9XZ"]
[4320, "https://t.co/uy0sKwo556 Jordan 12 French Blue Gs BG Sz 6.5 7 Ds Flu Game Wings Gamma Bred Flint Tax https://t.co/uZ2UDEa7UT"]
[4321, "Got a fever on the train coming home"]
[4322, "https://t.co/uy0sKwo556 Jordan 12 French Blue Gs BG Sz 6.5 7 Ds Flu Game Wings Gamma Bred Flint Taxi https://t.co/MbreVZntUH"]
[4323, "Cabin fever is so real; not real like the movie where their skin starts peeling off and everyone dies, but pretty damn close to that!"]
[4324, "@26JGonzalez @WORIDSTARHIPH0P  I smell jungle fever haha"]
[4325, "@Addicted2Adi The diarrhea cards are from the app version. Also reverse direction, kitty slaps, and more. I hope they make it an expansion."]
[4326, "@AnaPaulaVolei Torce pelo Flu que sua vida melhora. Vai por mim. Flu \u00e9 apaixonante."]
[4327, "I have probably the worst headache of my life rn and I've drank about 4 bottles of water bc I'm dehydrated as fuck and I'm just tired"]
[4328, "@HiddenGem05 You might try something a bit more reputable if you are really asking a legit question, for example: https://t.co/U6S3mgfV5M"]
[4329, "\"You get more lovely every time I see you, so much to the point that I'm gonna see you and I'm just gonna vomit\""]
[4330, "right cuz no waste in CPC  750 million action inaction plan I could go on but too vomit inducing #CPC #delusions  https://t.co/kCIHmJuJ3a"]
[4331, "Bukum banku in bleaching some wey if I see I want vomit."]
[4332, "I've got baby fever"]
[4333, "Best nasal decongestant ever!!  https://t.co/d2AGxfYmu2"]
[4334, "idk if i have a cold or if i'm suddenly allergic to things bc my nose is blocked and my eyes are streaming and i cant stop sneezing"]
[4335, "Check out \"Particle Fever\" on Netflix\nhttps://t.co/i1Vc63eH26"]
[4336, "Queria Fla x Flu na final mas t\u00e1 dif\u00edcil pro Flamengo kkkk"]
[4337, "@pilatvia A FEVER DREAM"]
[4338, "@moliveeira_ jae kkkk. Grande chances do flu passar"]
[4339, "It's official. A fever can last five days caused by a virus, and a person has to wait it out. #feverssuck"]
[4340, "@MFC_CB_camgirls @NiceOwl84 @CamGirlzPromote @CamGirlsPromo69 https://t.co/XIMSaXUDQ9"]
[4341, "RT @_Abdul_Manan_: Bukum banku in bleaching some wey if I see I want vomit."]
[4342, "I liked a @YouTube video https://t.co/LP1D7tfYyX Pac-Man Fever: Space Livin' - PART 4 - Grumpcade"]
[4343, "Lacrosse snooper - vomit out at the overpass online beano sites: XMZDFG https://t.co/fI3F5eLbnP"]
[4344, "Burned: A Fever Novel Reviews 403 #burned #fever #novel #reviews"]
[4345, "Para este d\u00eda gris &lt;3\n\nFever Ray 'Keep The Streets Empty For Me' https://t.co/mWoPafKN2J"]
[4346, "true friends stay up with you all night and clean up your projectile vomit @sarah_newtonn"]
[4347, "Estudar antes do jogo do flu vai ser osso"]
